geo_point_2d;geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;insee_com;nom_com;date_modif;notes
48.865496299051856,2.399068699999999;"{""coordinates"": [2.3990687, 48.865496299051856], ""type"": ""Point""}";n10674441671;NON;8;;public;NON;NON;arceaux;75120;20e Arrondissement;2023-02-01T01:00:00+01:00;
48.822912499051576,2.4138869999999986;"{""coordinates"": [2.413887, 48.822912499051576], ""type"": ""Point""}";n9792738542;NON;10;;public;NON;NON;arceaux;94018;Charenton-le-Pont;2022-06-01T02:00:00+02:00;
48.72496139905093,2.268699399999999;"{""coordinates"": [2.2686994, 48.72496139905093], ""type"": ""Point""}";n6269944193;NON;8;;public;NON;NON;arceaux;91377;Massy;2022-11-01T01:00:00+01:00;
48.823716099051595,2.3649354999999996;"{""coordinates"": [2.3649355, 48.823716099051595], ""type"": ""Point""}";n8455524828;NON;8;;public;NON;NON;arceaux;75113;13e Arrondissement;2021-06-01T02:00:00+02:00;
48.89377269905207,2.2836469999999998;"{""coordinates"": [2.283647, 48.89377269905207], ""type"": ""Point""}";n8071270089;NON;8;;public;NON;NON;arceaux;92044;Levallois-Perret;2020-11-01T01:00:00+01:00;
48.83165859905166,2.322184299999999;"{""coordinates"": [2.3221843, 48.83165859905166], ""type"": ""Point""}";n2682494245;NON;12;;public;NON;NON;arceaux;75114;14e Arrondissement;2021-04-01T02:00:00+02:00;
48.86169699905186,2.4430069999999997;"{""coordinates"": [2.443007, 48.86169699905186], ""type"": ""Point""}";n6604451786;NON;6;;public;NON;NON;arceaux;93048;Montreuil;2019-07-01T02:00:00+02:00;
48.83287179905166,2.2962869999999995;"{""coordinates"": [2.296287, 48.83287179905166], ""type"": ""Point""}";n7578076975;NON;2;;public;NON;NON;arceaux;75115;15e Arrondissement;2021-07-01T02:00:00+02:00;
48.867516699051905,2.335108399999999;"{""coordinates"": [2.3351084, 48.867516699051905], ""type"": ""Point""}";n5625212003;NON;6;;public;NON;NON;arceaux;75102;2e Arrondissement;2019-11-01T01:00:00+01:00;
48.898103099052086,2.2198399;"{""coordinates"": [2.2198399, 48.898103099052086], ""type"": ""Point""}";n3697420781;NON;10;;public;NON;NON;arceaux;92050;Nanterre;2023-03-01T01:00:00+01:00;
48.84596299905175,2.323752400000001;"{""coordinates"": [2.3237524, 48.84596299905175], ""type"": ""Point""}";n7601938933;NON;16;;public;NON;NON;arceaux;75106;6e Arrondissement;2020-09-01T02:00:00+02:00;
48.8970836990521,2.3744876999999986;"{""coordinates"": [2.3744877, 48.8970836990521], ""type"": ""Point""}";n3891659262;NON;20;;public;NON;NON;arceaux;75119;19e Arrondissement;2018-05-01T02:00:00+02:00;
48.75333979905114,2.3467962999999985;"{""coordinates"": [2.3467963, 48.75333979905114], ""type"": ""Point""}";n6654754831;NON;6;;public;NON;NON;ratelier;94065;Rungis;2021-02-01T01:00:00+01:00;
48.8964002990521,2.3764095000000003;"{""coordinates"": [2.3764095, 48.8964002990521], ""type"": ""Point""}";n5627504661;NON;10;;public;NON;NON;inconnu;75119;19e Arrondissement;2018-05-01T02:00:00+02:00;
48.77580329905128,2.455642599999999;"{""coordinates"": [2.4556426, 48.77580329905128], ""type"": ""Point""}";n9899607569;NON;4;;public;NON;NON;arceaux;94028;Créteil;2022-07-01T02:00:00+02:00;
48.86711999905188,2.3480088999999995;"{""coordinates"": [2.3480089, 48.86711999905188], ""type"": ""Point""}";n2654423084;NON;16;;public;NON;NON;arceaux;75102;2e Arrondissement;2019-08-01T02:00:00+02:00;
48.84996449905175,2.3026648999999995;"{""coordinates"": [2.3026649, 48.84996449905175], ""type"": ""Point""}";n7599478982;NON;4;;public;NON;NON;inconnu;75115;15e Arrondissement;2021-07-01T02:00:00+02:00;
48.902254899052146,2.3125708999999994;"{""coordinates"": [2.3125709, 48.902254899052146], ""type"": ""Point""}";n4354447690;NON;6;;public;NON;NON;arceaux;92024;Clichy;2023-02-01T01:00:00+01:00;
48.82811859905162,2.2924235999999993;"{""coordinates"": [2.2924236, 48.82811859905162], ""type"": ""Point""}";n8401689914;NON;8;;public;NON;NON;arceaux;75115;15e Arrondissement;2021-02-01T01:00:00+01:00;
48.77012929905125,2.3496689;"{""coordinates"": [2.3496689, 48.77012929905125], ""type"": ""Point""}";n4115005823;OUI;12;Véligo;public;NON;NON;arceaux;94021;Chevilly-Larue;2019-03-01T01:00:00+01:00;
48.82269689905159,2.2983569999999998;"{""coordinates"": [2.298357, 48.82269689905159], ""type"": ""Point""}";n3018376260;NON;24;;public;NON;NON;arceaux;92046;Malakoff;2022-11-01T01:00:00+01:00;
48.73103075639757,2.2552242647848613;"{""coordinates"": [2.255224264784861, 48.73103075639757], ""type"": ""Point""}";w798804905;OUI;0;;public;NON;NON;autres;91377;Massy;2023-02-01T01:00:00+01:00;
